com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
5.833333063433085641e+01,4.953323479362890680e+01,6.079999999999985505e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.299636180088230653e+01,1.036070937835461114e+00,1.147751625590195113e-01
5.977030451570196590e+01,4.959841298748714422e+01,6.239999999999984936e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.247338044005082658e+01,1.142796075305355430e+00,1.148686673493355265e-01
6.134441577015543601e+01,4.965693954599877458e+01,6.479999999999985505e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.210085436325026009e+01,1.226977661548594334e+00,1.155858374578508790e-01
6.301153427267435347e+01,4.970163549102599632e+01,6.599999999999987210e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.257442009727389909e+01,1.223092609419627497e+00,1.157409430001007794e-01
6.454184487361078482e+01,4.973795461428546361e+01,6.839999999999990621e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.241020643070705809e+01,1.291554469871066146e+00,1.172796045482244615e-01
6.619582356905040399e+01,4.976899758487002856e+01,6.959999999999992326e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.276983052629931414e+01,1.361570519310862926e+00,1.170474355491206431e-01
6.833938680482390282e+01,4.979730700853325231e+01,7.159999999999995168e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.309964904609568492e+01,1.516570523147301008e+00,1.180224272587627465e-01
6.935648550342426688e+01,4.981303095077136334e+01,7.359999999999998010e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.345870714446757432e+01,1.263783488945209310e+00,1.169961559816228708e-01
7.156688012903441631e+01,4.984199618862421488e+01,7.479999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.361331445063011536e+01,1.247328462608199517e+00,1.172039308934011426e-01
7.284269983146754157e+01,4.985614221339224628e+01,7.680000000000002558e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.320013206357956115e+01,1.403434065864542779e+00,1.180874968802397840e-01
7.471511446086088881e+01,4.988042592481200899e+01,7.800000000000004263e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.306050953574970919e+01,1.030059936642374829e+00,1.167875118294013359e-01
7.582163517209097847e+01,4.989220680103650807e+01,7.960000000000006537e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.299352547167038630e+01,1.173998502720208892e+00,1.157878525720493629e-01
7.781068264306577476e+01,4.991312553814248787e+01,8.120000000000008811e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.264240705140503707e+01,1.110735998168363770e+00,1.160062059312212540e-01
7.897985417884018489e+01,4.992294296697864553e+01,8.200000000000009948e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.268400326702978020e+01,1.162368720304002956e+00,1.164741782428267147e-01
8.019437849113774064e+01,4.993102246457169002e+01,8.520000000000014495e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.237970382128625246e+01,1.294231141604473390e+00,1.170807419279160794e-01
8.209123189463898029e+01,4.994340345347982435e+01,8.640000000000016200e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.245262484599349051e+01,1.330640741190000309e+00,1.164239126118120082e-01
8.345025661032187259e+01,4.994247511133058737e+01,8.720000000000017337e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.262765011832571638e+01,1.202876681118191016e+00,1.170165883559129288e-01
8.434191399477569462e+01,4.994317390469213080e+01,8.800000000000018474e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.247491078573503920e+01,1.329229729470780885e+00,1.171579961632050471e-01
8.523968280300427125e+01,4.994181875360821010e+01,8.920000000000020179e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.253991836067683074e+01,1.540061673735510173e+00,1.197292729519228716e-01
8.698871066316472422e+01,4.993948334854530202e+01,9.040000000000021885e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.262076663336783078e+01,1.915415414676024275e+00,1.181532688806359171e-01
8.849879887715022164e+01,4.993372901724185198e+01,9.080000000000022453e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.299383707906809171e+01,2.227323286958509119e+00,1.162522347932709588e-01
8.914985402189259389e+01,4.993497643047835766e+01,9.240000000000024727e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.308337337200071104e+01,2.157548195930976576e+00,1.159929357754657664e-01
9.042162062223971475e+01,4.993423744478152315e+01,9.320000000000025864e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.292441948033143717e+01,1.708592915240036758e+00,1.165792744819515864e-01
9.134161411835314937e+01,4.993540611731364010e+01,9.440000000000027569e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.348657838086524485e+01,1.892591498003380002e+00,1.168309282268687188e-01
9.214364186218783459e+01,4.993400934185987694e+01,9.600000000000029843e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.308168119491500470e+01,1.741799313381457326e+00,1.152795942493703152e-01
9.391020130471827088e+01,4.993492143062685784e+01,9.760000000000032117e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.362688070277029517e+01,1.632099715117355743e+00,1.177975819258560153e-01
9.566302577883897129e+01,4.993290911201651738e+01,9.960000000000034959e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.365610649727770642e+01,1.637573808420733856e+00,1.165001760253795704e-01
9.776838676642506698e+01,4.994074224416998931e+01,1.012000000000003723e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.325001416226730022e+01,1.682862690479633772e+00,1.164478513934818910e-01
9.906004856555414051e+01,4.994613460824606932e+01,1.028000000000003951e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.357847327179076835e+01,1.537032665279422394e+00,1.159291457939034403e-01
1.004703346938353548e+02,4.995044905281503844e+01,1.040000000000004121e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.366384020230367291e+01,1.757630165276716783e+00,1.154348972036312315e-01
1.021261302100049164e+02,4.995311104578312467e+01,1.056000000000004349e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.320189483554899468e+01,1.389558360526178538e+00,1.141088630562676343e-01
1.037944393638530300e+02,4.995396763223747172e+01,1.080000000000004690e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.311077946883670009e+01,1.633744183544549200e+00,1.153190410656940584e-01
1.053995160272363023e+02,4.995139667876599532e+01,1.088000000000004803e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.344126437006811514e+01,1.789782424644168479e+00,1.177753770326277066e-01
